id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,Associated_Skills,Tools,Technologies,Job_Description,Automation_Risk,Tasks,Mapped_Skills,Creativity_Required,Risk_Label
786,Develop user interfaces,Backend Developer,Low,Technical,Moderate,,Full-day,Monthly,Advanced,"React, Docker, JavaScript, TensorFlow","Tableau, MySQL, AWS","DevOps, Cloud Computing","As a Backend Developer, your responsibilities include Develop user interfaces. You'll utilize skills such as React, Docker, JavaScript, TensorFlow and work with tools like Tableau, MySQL, AWS. This role often involves technologies like DevOps, Cloud Computing.",Medium Risk,"['as a backend developer your responsibilities include develop user interfaces', 'youll utilize skills such as react docker javascript tensorflow and work with tools like tableau mysql aws', 'this role often involves technologies like devops cloud computing']","['technical skills', 'teamwork', 'other']",False,1
787,Define product roadmaps,Software Engineer,High,Managerial,Moderate,Low,Full-day,Daily,Beginner,"Agile, TensorFlow, React, JavaScript, Git","VS Code, Tableau, Jira",DevOps,"As a Software Engineer, your responsibilities include Define product roadmaps. You'll utilize skills such as Agile, TensorFlow, React, JavaScript, Git and work with tools like VS Code, Tableau, Jira. This role often involves technologies like DevOps.",Low Risk,"['as a software engineer your responsibilities include define product roadmaps', 'youll utilize skills such as agile tensorflow react javascript git and work with tools like vs code tableau jira', 'this role often involves technologies like devops']","['other', 'teamwork, technical skills', 'other']",False,0
788,Conduct user research,Machine Learning Engineer,High,Managerial,High,Low,1-3 hours,Daily,Advanced,"Git, React, Docker, SQL","Tableau, MongoDB",DevOps,"As a Machine Learning Engineer, your responsibilities include Conduct user research. You'll utilize skills such as Git, React, Docker, SQL and work with tools like Tableau, MongoDB. This role often involves technologies like DevOps.",Low Risk,"['as a machine learning engineer your responsibilities include conduct user research', 'youll utilize skills such as git react docker sql and work with tools like tableau mongodb', 'this role often involves technologies like devops']","['other', 'teamwork', 'other']",False,0
789,Conduct user research,Data Scientist,Medium,Technical,Moderate,Moderate,Full-day,Weekly,Beginner,"Python, Docker, Git, SQL, JavaScript",Jira,"Web Development, AI","As a Data Scientist, your responsibilities include Conduct user research. You'll utilize skills such as Python, Docker, Git, SQL, JavaScript and work with tools like Jira. This role often involves technologies like Web Development, AI.",Medium Risk,"['as a data scientist your responsibilities include conduct user research', 'youll utilize skills such as python docker git sql javascript and work with tools like jira', 'this role often involves technologies like web development ai']","['other', 'teamwork', 'technical skills']",False,1
790,Manage database operations,DevOps Engineer,High,Managerial,Low,Moderate,<1 hour,Occasionally,Advanced,"SQL, Agile, Git, TensorFlow, Node.js","AWS, Tableau","Web Development, AI","As a DevOps Engineer, your responsibilities include Manage database operations. You'll utilize skills such as SQL, Agile, Git, TensorFlow, Node.js and work with tools like AWS, Tableau. This role often involves technologies like Web Development, AI.",Low Risk,"['as a devops engineer your responsibilities include manage database operations', 'youll utilize skills such as sql agile git tensorflow node', 'js and work with tools like aws tableau', 'this role often involves technologies like web development ai']","['other', 'other', 'teamwork', 'technical skills']",False,0
791,Design wireframes and prototypes,Frontend Developer,Medium,Technical,Low,Moderate,Full-day,Monthly,Intermediate,"Git, TensorFlow, SQL, React, Agile",Slack,"DevOps, Cloud Computing","As a Frontend Developer, your responsibilities include Design wireframes and prototypes. You'll utilize skills such as Git, TensorFlow, SQL, React, Agile and work with tools like Slack. This role often involves technologies like DevOps, Cloud Computing.",Medium Risk,"['as a frontend developer your responsibilities include design wireframes and prototypes', 'youll utilize skills such as git tensorflow sql react agile and work with tools like slack', 'this role often involves technologies like devops cloud computing']","['technical skills', 'teamwork', 'other']",True,1
792,Design APIs,Full Stack Developer,Medium,Creative,High,High,1-3 hours,Weekly,Beginner,"Git, TensorFlow, Node.js, SQL",Tableau,"AI, Cloud Computing, Web Development","As a Full Stack Developer, your responsibilities include Design APIs. You'll utilize skills such as Git, TensorFlow, Node.js, SQL and work with tools like Tableau. This role often involves technologies like AI, Cloud Computing, Web Development.",Medium Risk,"['as a full stack developer your responsibilities include design apis', 'youll utilize skills such as git tensorflow node', 'js sql and work with tools like tableau', 'this role often involves technologies like ai cloud computing web development']","['technical skills', 'other', 'teamwork', 'technical skills']",True,1
793,Manage database operations,Machine Learning Engineer,High,Technical,High,,Full-day,Weekly,Beginner,"JavaScript, SQL, Docker, Node.js","Postman, Tableau","Big Data, DevOps","As a Machine Learning Engineer, your responsibilities include Manage database operations. You'll utilize skills such as JavaScript, SQL, Docker, Node.js and work with tools like Postman, Tableau. This role often involves technologies like Big Data, DevOps.",Medium Risk,"['as a machine learning engineer your responsibilities include manage database operations', 'youll utilize skills such as javascript sql docker node', 'js and work with tools like postman tableau', 'this role often involves technologies like big data devops']","['other', 'other', 'teamwork', 'other']",False,1
794,Analyze and clean data,Software Engineer,High,Creative,Low,Low,<1 hour,Monthly,Advanced,"Git, Python, SQL","MongoDB, Slack, Postman","AI, Big Data","As a Software Engineer, your responsibilities include Analyze and clean data. You'll utilize skills such as Git, Python, SQL and work with tools like MongoDB, Slack, Postman. This role often involves technologies like AI, Big Data.",Low Risk,"['as a software engineer your responsibilities include analyze and clean data', 'youll utilize skills such as git python sql and work with tools like mongodb slack postman', 'this role often involves technologies like ai big data']","['problem-solving', 'teamwork', 'other']",False,0
795,Perform code reviews,Full Stack Developer,Medium,Creative,High,Moderate,<1 hour,Occasionally,Intermediate,"Git, Agile, Python, React, Docker","Tableau, Jira, MySQL","DevOps, AI, Big Data","As a Full Stack Developer, your responsibilities include Perform code reviews. You'll utilize skills such as Git, Agile, Python, React, Docker and work with tools like Tableau, Jira, MySQL. This role often involves technologies like DevOps, AI, Big Data.",Medium Risk,"['as a full stack developer your responsibilities include perform code reviews', 'youll utilize skills such as git agile python react docker and work with tools like tableau jira mysql', 'this role often involves technologies like devops ai big data']","['technical skills', 'teamwork', 'other']",False,1
796,Write and debug code,Data Scientist,High,Managerial,High,,Half-day,Weekly,Beginner,"Docker, Node.js, Agile","Jira, MongoDB, AWS",Web Development,"As a Data Scientist, your responsibilities include Write and debug code. You'll utilize skills such as Docker, Node.js, Agile and work with tools like Jira, MongoDB, AWS. This role often involves technologies like Web Development.",Medium Risk,"['as a data scientist your responsibilities include write and debug code', 'youll utilize skills such as docker node', 'js agile and work with tools like jira mongodb aws', 'this role often involves technologies like web development']","['problem-solving, technical skills', 'other', 'teamwork', 'technical skills']",False,1
797,Analyze and clean data,Data Scientist,Low,Creative,Moderate,Moderate,Half-day,Weekly,Beginner,"SQL, React, Node.js","AWS, Tableau, Slack","Cloud Computing, Big Data, Web Development","As a Data Scientist, your responsibilities include Analyze and clean data. You'll utilize skills such as SQL, React, Node.js and work with tools like AWS, Tableau, Slack. This role often involves technologies like Cloud Computing, Big Data, Web Development.",Medium Risk,"['as a data scientist your responsibilities include analyze and clean data', 'youll utilize skills such as sql react node', 'js and work with tools like aws tableau slack', 'this role often involves technologies like cloud computing big data web development']","['problem-solving', 'other', 'teamwork', 'technical skills']",False,1
